powiat;wynagrodzenia;wsp_scholar;bezrobocie_rejestrowane;ilosc_samochod_os;apteki;podmioty_regon;prowadzacy_dzialanosc;wykrywalnosc_przestepstw;przestepstwa;przychodnie;rodziny_zastepcze
Powiat suwalski;2943,05;86,8;10,8;540,0011104;0,083277815;13,8796358;39;69,6;26,24;3;1,276926493
Powiat m.Suwałki;3029,62;97,48;13,3;401,979713;0,388953715;14,42279984;77;69,6;26,24;4;1,498472711
Powiat kielecki;2914,39;92,04;19,7;451,2156844;0,202798621;3,399570225;59;70,9;18,79;4;0,613274742
Powiat konecki;3031,59;94,98;22,6;440,0610054;0,381242852;9,007828232;61;81,1;17,24;3;1,370238421
Powiat ostrowiecki;3084,28;91,21;22,2;369,9567536;0,355998576;7,919829098;75;78,6;26,49;4;0,981294614
Powiat skarżyski;3119,33;91,74;27,4;415,3695508;0,317965024;12,23358258;77;78,6;28,2;3;1,258965359
Powiat starachowicki;2963,95;94,67;18,8;470,2841;0,351741119;7,942007356;58;70,7;23,67;4;1,108682906
Powiat m.Kielce;3467,85;98,96;10,7;417,6462391;0,467726848;7,066856443;103;70,3;41,19;7;0,965471937
Powiat buski;2902,83;95,3;9,1;478,8595234;0,35161744;10,00892688;60;75,4;15,75;4;0,297562691
Powiat jędrzejowski;3611,17;95,75;13,9;465,2885541;0,249190132;7,498442544;52;85,8;20,97;4;0,713598006
Powiat kazimierski;2876,72;94,82;12,6;518,5542169;0,311817898;14,2593905;36;82,6;14,12;2;0,396881644
Powiat opatowski;3014,36;92,48;22,6;517,0836208;0,326797386;10,6931484;45;70,9;23,9;4;0,871428053
Powiat pińczowski;3100,89;95,08;9,8;475,543611;0,293169159;14,70803811;44;81,6;15,62;5;0,903982409
Powiat sandomierski;3397,35;93,15;12,8;497,5299754;0,347584289;9,681503364;59;87,3;23,17;4;0,781967579
Powiat staszowski;3490,75;95,48;12,9;551,9104227;0,284333239;9,369330337;55;90,4;28,88;4;0,446803325
Powiat włoszczowski;3259,56;97,19;14,3;461,349957;0,25793139;15,43422184;57;87,1;23,11;4;0,62338779
Powiat gorzowski;3408,69;85,47;12,3;533,1095558;0,171408982;14,6407656;82;72,5;44,11;4;1,428367376
Powiat międzyrzecki;3116,31;92,04;22,7;530,3913405;0,339904827;17,17956125;73;77,7;34,43;5;1,359411375
Powiat słubicki;3133,88;93,5;13,3;488,4531682;0,338066261;24,53041476;80;78,6;51,01;5;1,901582539
Powiat strzelecko-drezdenecki;3132,48;92,32;26;576,2276962;0,276319425;17,42854887;68;74,9;32;6;0,967156166
Powiat sulęciński;2716,04;92,94;15,8;533,8230365;0,251382604;22,45559155;62;71,9;35,57;4;1,452351693
Powiat m.Gorzów Wielkopolski;3197,03;100,08;9,1;455,6893964;0,312989045;11,56417273;103;72,5;44,11;7;1,677246427
Powiat krośnieński;2800,23;90,94;19,5;424,9584294;0,196695515;5,748359527;52;66,4;16,44;5;0,759892006
Powiat nowosolski *;3089,18;93,16;25,4;444,9445354;0,295508274;8,922076741;54;78,7;33,66;6;1,443444263
Powiat świebodziński;2931,56;94,41;12,5;500,1764727;0,229410415;17,18843751;67;72,9;34,73;6;1,447075848
Powiat zielonogórski;3373,25;86,12;15,9;527,3950149;0,190367409;9,708019162;70;72,7;40,75;4;1,216146191
Powiat żagański;2889,16;90,64;25;507,8297054;0,267665953;10,84113059;63;76,2;30,36;3;1,849440909
Powiat żarski;3445,53;93,95;17,4;554,8136677;0,37202381;9,422198982;64;79,4;36,76;5;1,337409247
Powiat wschowski *;2983,88;94,72;18,4;499,2899528;0,304321363;21,50428564;61;75,6;33,89;4;1,420094335
Powiat m.Zielona Góra;3351,95;104,26;8,3;473,5135226;0,445235975;12,1489124;99;72,7;40,75;7;1,176243247
Powiat jarociński;2596,34;97,63;14;569,9928814;0,265181649;11,51543068;64;80;16,58;4;0,614156303
Powiat kaliski;2723,72;90,61;8,8;586,5720524;0,133422282;8,66084425;57;80,2;30,31;3;0,412421155
Powiat kępiński;2349,11;98,03;5,8;595,7488265;0,247954376;17,58923036;80;84,2;23,69;3;1,080506598
Powiat krotoszyński;2729,22;96,81;10,1;548,2165939;0,332778702;10,1360431;62;90,1;18,37;4;1,06223684
Powiat ostrowski;3174,79;97,09;18,2;491,8264487;0,239980802;10,88029014;67;69,5;27,6;4;0,613349689
Powiat ostrzeszowski;3010,05;97,4;10,6;574,8957148;0,270855905;16,48698918;75;86,2;23,57;5;0,758437619
Powiat pleszewski;2881,88;93,97;13,1;635,8771999;0,299940012;13,66900797;68;82,5;19,74;5;1,168021466
Powiat m.Kalisz;3150,01;102,48;8,4;521,1509802;0,420344683;10,75700256;84;80,2;30,31;7;1,25148076
Powiat gnieźnieński;3006,57;96,51;14,9;506,5463846;0,345661943;7,196184156;83;80,2;23,66;4;0,953961012
Powiat kolski;3350,56;95,05;15,7;544,7320999;0,291036088;8,450578109;61;87,9;26;5;0,794690127
Powiat koniński;3219,51;92,35;18,7;580,004211;0,233918129;5,365066245;58;78,1;24,93;3;0,655037158
Powiat słupecki;2886,83;94,46;17,5;566,7235666;0,368188513;13,62251899;67;92,7;17,34;5;0,736352378
Powiat turecki;2977,38;96,59;12,1;560,321399;0,283607487;8,034975777;55;85,3;21,31;4;0,815313719
Powiat wrzesiński;2932,62;97,25;14,8;488,9801577;0,222370469;13,77316783;83;80;17,5;4;0,915595202
Powiat m.Konin;3483,18;107,26;13,6;487,0707927;0,501002004;13,74490989;82;78,1;24,93;9;1,130422495
Powiat gostyński;3124,88;100,17;12,3;577,0431179;0,275406224;11,89414603;73;95,7;16,77;5;0,577003777
Powiat grodziski;3854,84;104,05;7,8;524,9260161;0,308546745;14,91104789;104;58,5;23,64;4;0,959791588
Powiat kościański;2955,65;97,46;9,7;588,2449932;0,329815303;12,29024771;77;94,5;28,31;5;0,900523826
Powiat leszczyński;3450,36;91,76;9;592,2573406;0,261848651;18,34673649;80;80,1;23,27;4;0,804189265
Powiat międzychodzki;2839,46;95,87;11,7;533,1878082;0,377216145;25,25130029;69;88,6;25,66;3;1,212709192
Powiat nowotomyski;3167,43;98,92;7,4;583,4729051;0,270124257;14,11475498;80;86,5;19,11;4;0,688854071
Powiat rawicki;2716,43;96,25;10,9;570,2960793;0,297885016;13,57099118;63;88,8;19,7;4;0,87714943
Powiat wolsztyński;2708,32;99,21;6,7;500,449791;0,24691358;19,59677562;91;85,6;23,63;4;0,687915616
Powiat m.Leszno;2977,96;102,56;8,7;452,1337412;0,478927203;21,19835605;103;80,1;23,27;8;1,436914805
Powiat chodzieski;3020,99;97,14;16,6;588,4850259;0,292825769;18,29931404;69;88,4;26,02;4;1,003848084
Powiat czarnkowsko-trzcianecki;3149,29;96;15,1;551,6905035;0,226860254;8,801279361;59;89,9;18,14;7;1,633227098
Powiat pilski;3263,28;95,04;13,7;480,0514429;0,27457441;6,495383148;71;79;30,8;4;1,271621172
Powiat wągrowiecki;3084,27;94,95;22,2;569,8602651;0,229305205;12,09602293;70;84;29,29;3;1,175206019
Powiat złotowski;2922,82;89,85;18,2;457,7214253;0,213447172;9,605532787;50;86,6;26,84;4;1,195355191
Powiat obornicki;3197,81;95,13;12,3;572,7502245;0,220264317;17,58815257;83;82,5;28,52;4;1,355541624
Powiat poznański;3405,01;87,61;4,6;539,083167;0,35971223;4,275537198;118;58,9;24,03;5;0,765767856
Powiat szamotulski;3569,58;96,87;11,4;579,6898617;0,268744961;10,49095897;73;90,2;29,71;5;0,83972457
Powiat średzki;3238,52;96,13;14,2;538,2415759;0,317762949;16,04504616;70;87,3;18,84;4;0,458934214
Powiat śremski;2998,45;98,1;10,2;507,2954878;0,279642058;16,61430146;79;94,7;21,87;5;0,740241154
Powiat m.Poznań;4119,68;107,6;4,2;554,3121825;0,479386385;3,379077681;126;56;49,25;8;0,798922181
Powiat białogardzki;3090,04;91,07;28,9;438,6589135;0,203334689;20,25048796;73;72,7;38,12;4;1,524886142
Powiat drawski;2827,94;89,11;24,9;460,169607;0,255427842;17,33533138;79;81,5;29,49;4;2,111572781
Powiat kołobrzeski;3130,38;93,07;11,9;455,8662866;0,38925652;20,19263371;125;74,9;33,2;3;1,343664059
Powiat koszaliński;3118,05;80,53;28,1;472,9004908;0,197511357;15,98468388;85;74,9;31,73;3;1,413094677
Powiat sławieński;2905,46;91,17;27,2;450,1708133;0,241545894;17,42641223;78;71,9;22,11;5;1,552848615
Powiat szczecinecki;3244,82;89,97;27,6;372,0575634;0,302388872;12,6896517;75;86,8;25,21;6;1,33575281
Powiat świdwiński;2892,61;89,14;26,7;461,2678937;0,265816055;18,44580777;64;77,7;28,93;4;1,574642127
Powiat wałecki;3093,47;92,25;20,6;451,5434969;0,291715286;18,89028682;81;78,3;30,32;5;0,948161114
Powiat m.Koszalin;3323,31;102,68;12,4;403,7844215;0,365764448;15,36449521;127;74,9;31,73;5;1,3078112
Powiat choszczeński;3151,12;90,79;28,5;482,2169059;0,23923445;16,20813397;59;84,4;39,13;3;1,136363636
Powiat gryficki *;2831,03;92,31;25,4;470,7110262;0,258933195;19,82264798;97;76,4;33,93;7;1,747629373
Powiat myśliborski;3143,15;91,31;18,9;520,3325129;0,250563768;14,7390452;74;71;32,89;5;1,267557888
Powiat pyrzycki;2768,91;90,65;28,5;508,0426976;0,196772924;21,6193615;67;78,3;28,28;4;1,352747307
Powiat stargardzki *;3171,47;91,3;20;451,8239181;0,281135789;8,410449798;78;64,2;32,67;5;1,265288908
Powiat łobeski *;3082,29;89,44;29,8;480,306718;0,314070352;22,53277852;64;76,3;32,55;7;1,910444636
Powiat m.Szczecin;3881,46;97,36;11;433,9040334;0,344827586;3,954386385;115;62,1;43,71;7;1,406167082
Powiat goleniowski *;3265,66;92,7;15,9;508,4504125;0,231535078;12,79442407;82;74,5;39,04;5;1,973996856
Powiat gryfiński;3222,07;91,39;22,2;515,7485464;0,26157468;11,806951;79;69;27,08;5;1,343590597
Powiat kamieński;2968,4;86,98;25,5;492,8008976;0,249314385;30,20922067;115;66,3;34,55;6;1,163491305
Powiat policki;3921,5;72,53;14,7;462,5202842;0,231803431;18,25917391;108;70,3;26,57;5;1,854553884
Powiat m.Świnoujście;3729,48;93,23;10;386,4944952;0,385505012;38,64222217;125;80;28,17;5;1,686381267
Powiat bolesławiecki;3057,28;93,46;13,9;404,777704;0,287521564;9,455872595;60;75,7;29,85;5;1,382437514
Powiat jaworski;2983,89;89,58;25;508,8051035;0,305623472;17,59110704;68;82,5;28,02;5;1,604400642
Powiat jeleniogórski;3031,43;82,54;20,8;473,8749251;0,261028452;19,65330344;95;72,1;39,37;4;1,735018195
Powiat kamiennogórski;2983,93;90,68;22,8;417,9655726;0,197863079;21,2808055;62;79,6;24,65;4;0,967309341
Powiat lubański;2937,03;90,16;23,1;508,7517477;0,283205891;17,82206255;67;76,9;28,66;4;1,468948551
Powiat lwówecki;3010,71;88,7;25,6;477,1826021;0,251762336;17,0160089;59;81,1;24,67;3;2,014225467
Powiat zgorzelecki;3406,01;94,18;14,4;452,4258803;0,330469266;9,829319517;61;72,1;41,64;4;1,641773542
Powiat złotoryjski;3424,12;89,87;27,5;482,1051241;0,264131009;21,79080824;66;75,7;23,15;4;1,408698715
Powiat m.Jelenia Góra;3291,09;103,58;10,1;496,2219057;0,434593655;18,38350675;101;72,1;39,37;6;1,243270647
Powiat głogowski;3122,99;93,42;15,7;441,5728099;0,309789343;10,17856748;69;78,4;41,34;5;1,703803686
Powiat górowski;2908,49;94,18;27,9;567,0170648;0,245760629;20,28668942;53;79,5;27,73;4;1,064846416
Powiat legnicki;3065,2;86,05;21,6;485,5996352;0,164149705;15,39443684;67;69,4;53,97;3;1,203830369
Powiat lubiński;6541,95;96,17;10,6;456,9080118;0,337040782;8,678312644;72;71,8;37,14;4;1,20766163
Powiat polkowicki;3731,51;93,04;9,1;439,9442888;0,332336324;11,25302692;51;73,6;32,47;2;1,202855198
Powiat m.Legnica;3034,05;97,82;10,5;423,2782019;0,4784689;12,67305852;89;69,4;53,97;4;1,337603249
Powiat dzierżoniowski;3113,13;91,08;20,5;444,6259641;0,313479624;9,403138179;65;79;24,69;5;1,586185935
Powiat kłodzki;3063,43;90,38;27,1;501,8258732;0,289268152;6,375491118;70;76,9;28,3;5;1,831899149
Powiat świdnicki;3491,18;92,54;16;482,7576766;0,328515112;10,0072556;58;68,9;19,27;6;1,095185292
Powiat wałbrzyski *;3564,91;89,26;20,9;423,3632125;0,377216145;6,396252337;68;76,4;49,07;3;2,28598455
Powiat ząbkowicki;3097,44;90,6;22,8;528,9899611;0,278009452;13,39011327;64;82,3;27,95;4;1,317060321
Powiat milicki;2864,74;95,04;17,9;551,9790749;0,186846039;23,80761737;69;79,2;20,24;5;1,147676622
Powiat oleśnicki;3060,4;94,81;16;504,6529626;0,320924262;8,569756687;68;83,1;24,92;3;1,000434151
Powiat oławski;3302,68;93,14;11,9;519,4497405;0,264830508;12,69727783;75;85,1;34,76;4;1,085690075
Powiat strzeliński;3293,97;94,08;18,8;590,7692998;0,202020202;18,51976564;60;71,3;26;4;1,43668485
Powiat średzki;3238,52;96,13;14,2;538,2415759;0,317762949;16,04504616;70;87,3;18,84;4;0,458934214
Powiat trzebnicki;3202,7;92,84;14,5;543,8511484;0,26652452;12,3195077;78;75,6;24,58;3;0,908518267
Powiat wołowski;3394,22;94,68;22,3;538,6308376;0,251509054;16,89444118;55;80,5;28,2;4;1,320533244
Powiat wrocławski;3531,74;91,07;5,7;541,8805066;0,281135789;9,300532492;91;52,3;13,27;4;1,028038134
Powiat m.Wrocław;3923,93;97,57;5,7;540,5235841;0,418235048;2,637882849;110;51,5;64,07;7;1,135953155
Powiat brzeski;2821,76;93,52;12,5;450,644935;0,323834197;7,026822818;52;88,8;49,72;5;0,48572508
Powiat kluczborski;3200,22;92,31;15,2;506,7053495;0,325626832;13,69193878;68;81,9;28,16;5;1,198969774
Powiat namysłowski;3152,42;92,32;19,2;564,7160029;0,302206105;22,59887006;75;79;24,24;4;0,88349492
Powiat nyski;3012,34;90,26;21,4;517,3180964;0,303674461;6,872148376;72;73,5;30,81;5;0,776912972
Powiat prudnicki;3052,97;94,53;19,5;508,5929859;0,296912114;13,4309068;53;81,8;26,02;5;1,344837222
Powiat głubczycki;3111,54;91,19;19,8;576,3111742;0,271444083;17,537999;58;75,3;21,84;5;1,190078503
Powiat kędzierzyńsko-kozielski;3793,84;91,09;14,5;479,7556166;0,306466442;9,389143739;64;61,3;29,12;5;1,695971557
Powiat krapkowicki;3720;93,88;10,9;507,2182291;0,305810398;11,37788653;55;82,2;26,37;4;1,116378651
Powiat oleski;3013,57;94,39;10,6;583,6458318;0,349162011;12,37341916;65;89,6;39,41;4;0,713559142
Powiat opolski;2991,25;94,06;16,2;483,5486151;0,2891845;9,671614935;46;68,6;18,16;4;0,980014138
Powiat strzelecki;3221,15;93,73;11,3;475,2834823;0,248200546;8,896378743;51;77,2;23,3;5;0,875267806
Powiat m.Opole;3771,22;103,61;7,1;550,7172468;0,411184211;13,64578535;110;55;45,42;8;1,061064684
Powiat bydgoski;3028,7;89,86;13,4;513,1687243;0,21034918;9,455875629;83;64,7;22,18;3;1,152263374
Powiat toruński;2738,84;87,72;20,4;486,7505581;0,2002002;8,549318757;70;62,8;28,87;3;1,181287603
Powiat m.Bydgoszcz;3468,51;96,12;8,6;486,1261052;0,348796652;3,324530663;86;67,1;35,03;4;1,190298239
Powiat m.Toruń;3545,32;100,38;9,6;428,3819304;0,313283208;5,917796954;85;61;43,84;4;1,282434079
Powiat brodnicki;2878,25;95,18;15,1;504,8395575;0,230733733;8,999653859;55;80,4;18,89;4;0,884581362
Powiat chełmiński;2901,58;89,74;24,6;422,7925844;0,151653018;12,71941464;49;75,6;19,25;2;1,421693142
Powiat golubsko-dobrzyński;3047,13;93,3;23,4;549,1209928;0,242013553;16,01795419;57;90,5;28,32;3;1,430174481
Powiat grudziądzki;3014,9;86,04;28,1;535,5180387;0,149186931;16,1615157;51;78;13,21;3;0,671324498
Powiat sępoleński;2928,2;90,48;24,7;512,4373336;0,287852619;17,34270431;53;78,1;21,8;3;1,07942143
Powiat świecki;3171;93,99;18,8;494,9924461;0,210128178;7,353750413;56;79,7;24,38;3;0,96048985
Powiat tucholski;2831,86;94,56;21,1;530,593664;0,227634874;14,33981004;53;82,7;20,87;2;1,034618329
Powiat wąbrzeski;3010,76;92,62;22,6;503,7043345;0,198688655;18,62102245;48;77,1;23,08;4;1,589599478
Powiat m.Grudziądz;2885,61;97,09;22,6;366,9249063;0,326583932;8,288166907;62;63,1;27,54;4;1,204438048
Powiat aleksandrowski;2752,37;95,31;23,6;461,880287;0,321233537;15,24074669;66;74,8;27,17;4;1,26708784
Powiat inowrocławski;2996,73;93,66;23,7;443,3306367;0,285877644;4,945225394;63;68,9;28,73;3;1,046222347
Powiat lipnowski;2820,97;94,2;28,7;497,9547678;0,281610814;10,18169962;54;79,5;23,58;3;0,696564603
Powiat mogileński;2860,46;95,2;21,2;526,0271049;0,213401622;14,91836517;54;80,6;17,69;3;1,003094654
Powiat nakielski;2988,21;93,38;23,5;473,658149;0,230308614;8,060894299;53;79,4;34,42;3;0,967307316
Powiat radziejowski;2737,21;96,8;24,3;561,8661258;0,262467192;17,08626656;58;79,7;17,38;4;0,453406515
Powiat rypiński;2894,87;95,3;20,5;497,6010355;0,223164472;16,51380241;58;84,5;17,01;4;0,424003035
Powiat włocławski;2742,36;90,95;28,7;532,8333219;0,240847784;7,488703869;52;72,2;15,88;3;0,756898094
Powiat żniński;2741,57;95,25;22,7;524,7685218;0,281848929;10,2033626;56;83,5;25,66;3;0,803303409
Powiat m.Włocławek;3240,04;97,03;21,3;408,8588095;0,415454923;8,888234989;76;56,5;45,32;6;1,202984093
Powiat gdański;3295,86;93,16;9;537,8754834;0,252016129;11,32144969;90;57,5;33,75;4;1,027460331
Powiat kartuski;2973,37;95,56;10,9;545,8430143;0,227479527;7,547077843;75;66,2;18,22;3;0,690529189
Powiat nowodworski;4145,35;95,56;13;586,9945481;0,280898876;11,69545843;71;70,5;31,57;3;1,110813192
Powiat pucki;3144,54;93,41;15,4;480,1580421;0,284900285;16,70836533;112;68,2;26,4;4;0,854616166
Powiat wejherowski;3091,32;97,93;16,4;416,2276442;0,240384615;4,983763526;83;60,3;21,56;3;0,976150533
Powiat bytowski;3086,8;91,82;23,6;515,8494083;0,229779412;10,09817314;60;80,6;21,74;5;1,417063487
Powiat chojnicki;2804,08;95,5;20;464,7165448;0,25;9,010979853;70;74;26,76;4;1,364668625
Powiat człuchowski;3055,87;92,32;23,8;481,0982196;0,226449275;15,2956343;64;73,7;20,73;4;1,132364726
Powiat lęborski;3146,36;92,6;21,4;449,4908289;0,271960838;18,59909951;94;57,9;30,53;5;1,465566736
Powiat słupski;3016,33;87,86;22,8;443,0351146;0,143781452;9,140673945;66;71,8;23,94;4;1,499481344
Powiat m.Słupsk;3234,17;95,63;12;408,7760546;0,36900369;14,77084629;98;71,8;23,94;5;1,360056511
Powiat kościerski;2832,98;95,01;15,6;501,2598359;0,295595625;10,93734604;62;66,9;18,97;3;1,449866978
Powiat kwidzyński;3421,1;91,43;19,9;480,4077199;0,286450874;11,18365301;69;68,7;26,73;4;1,92163088
Powiat malborski *;3127,32;93,47;25,1;456,1417067;0,262743037;14,94659721;69;65,2;23,9;4;2,055736742
Powiat starogardzki;3245,52;93,5;20,9;438,8852609;0,298953662;6,829429491;70;69,3;24,57;3;1,337561075
Powiat tczewski;3412,17;92,53;13,7;486,7945678;0,258665287;7,380901056;64;69,7;26,3;3;1,120931235
Powiat sztumski *;3017,1;86,02;27,3;499,9531155;0,210970464;17,62858081;53;74,7;20,28;4;2,344226171
Powiat m.Gdańsk;4411,71;96,24;6,3;508,5800789;0,375798572;3,192688526;97;44,5;33,31;4;0,905681031
Powiat m.Gdynia;4067,07;95,31;6,5;483,7491859;0,38197097;5,894036007;102;60,1;33,11;3;0,964917218
Powiat m.Sopot;4375,89;96,06;4,6;680,7703378;0,392464678;58,2986629;122;47,1;57,83;9;1,412983751
Powiat braniewski;3038,26;91,34;31,5;454,0362132;0,232450023;15,64279571;44;82,2;30,59;6;1,580549938
Powiat działdowski;2871,83;94,2;26;457,144142;0,239808153;9,053843386;46;73,2;21,2;5;0,899388416
Powiat elbląski;2917;84,54;28,2;476,6275128;0,15410695;10,89003801;47;78,2;31,24;4;1,523920414
Powiat iławski;2741,51;93,23;13,2;441,7334578;0,289687138;7,864722482;56;72,6;24,85;4;1,298269332
Powiat nowomiejski;2738,13;95,31;22,4;501,818264;0,158102767;14,59128589;51;80,1;17,53;5;1,016420843
Powiat ostródzki;2950,32;91,64;23,8;447,1533337;0,26123302;7,137658848;55;75,8;27,55;4;1,511504227
Powiat m.Elbląg;3363,24;91,61;17;395,4584786;0,250689396;8,013973912;68;78,2;31,24;7;1,940821129
Powiat ełcki;2960,87;88,55;26,9;326,3370107;0,280033604;8,164865319;54;80,2;23,7;5;1,568012544
Powiat giżycki *;2938,61;94,87;18,8;439,8164979;0,27700831;15,99584524;66;62,7;24,24;6;1,523413832
Powiat olecki *;2924,79;91,79;23,1;462,7706742;0,31466331;24,88629537;63;78,8;20,67;5;1,401641923
Powiat piski;3039,3;89,69;30,9;397,4038942;0,258264463;12,25747586;53;69,7;23,99;6;0,843562243
Powiat gołdapski *;2699,45;91,2;25,2;416,9150251;0,181719062;28,74900051;57;87,8;20,68;4;1,526495602
Powiat węgorzewski *;2781,46;89,72;30,3;483,7786661;0,29455081;29,62339575;49;77,8;24,63;8;1,683147486
Powiat bartoszycki;3044,14;92,46;29,8;452,0965483;0,214178625;10,87404234;46;80,2;19,81;6;1,61463053
Powiat kętrzyński;2816,29;90,5;30,2;423,1409209;0,272257011;10,33157863;48;65,2;21,52;5;1,074000121
Powiat lidzbarski;2923,59;91,17;25,1;456,4412894;0,325839036;18,20086117;52;77;23,27;5;1,675782614
Powiat mrągowski;2839,59;91,12;23,3;423,4014772;0,25335698;17,79276207;70;70,4;22,59;4;1,227759047
Powiat nidzicki;2803,04;90,17;23;427,2112032;0,205086136;19,62909794;49;83,5;27,79;5;0,937509155
Powiat olsztyński;3178,11;83;22;461,9505382;0,230043708;6,827705201;63;60,6;28,35;5;1,643250349
Powiat szczycieński;3153,84;93,45;26;451,6961393;0,294464075;9,984714412;54;64,4;27,45;5;1,290159727
Powiat m.Olsztyn;3649,18;105,89;8,4;425,3296763;0,383582662;7,283513035;87;60,6;28,35;8;1,168110581
